                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.454,                 3.7235,                  1.977,                0.00333,                      1,                0.07651,                0.02662,                0.86653,                 3.4959,                 1.6747,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.358,                 3.6494,                 2.0622,                0.00333,                      1,                0.17667,                0.05513,                 0.7801,                 3.4181,                 1.6573,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                0.94105,                 3.1918,                 1.6012,                0.00333,                      1,                0.43539,                0.16084,                0.68667,                  3.322,                 1.5805,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                0.82067,                 2.9609,                 1.5441,                0.00333,                      1,                0.69766,                0.42836,                0.56028,                 3.1903,                 1.2995,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                0.56147,                 2.6572,                 1.2722,                0.00333,                      1,                0.92802,                0.68896,                0.54721,                 3.1217,                 1.1948,             0.00010872,             0.00010872,             0.00010872
                      6,                0.63406,                 2.2127,                 1.3531,                0.00333,                      1,                0.96437,                0.73607,                0.58619,                 3.0396,                 1.2228,              0.0001111,              0.0001111,              0.0001111
                      7,                0.53814,                 2.0783,                 1.1514,                0.00333,                      1,                  0.995,                0.78918,                0.55325,                 2.9892,                 1.1932,             0.00010556,             0.00010556,             0.00010556
                      8,                0.74682,                 1.7974,                 1.4114,                0.00333,                      1,                0.99262,                0.80911,                0.50869,                 2.9253,                 1.1621,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                0.60754,                 1.6164,                 1.1891,                0.00333,                      1,                0.99045,                0.83636,                0.49025,                 2.9266,                 1.1389,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                0.44412,                 1.5948,                 1.0533,                0.00333,                      1,                0.99045,                0.84558,                0.48349,                 2.8992,                 1.1433,              4.142e-05,              4.142e-05,              4.142e-05
